option_code,trade_date,close,volume,amount,open_interest
90006493.SZ,2025-12-11,0.5581,4.0,2.209699,355.0
90006513.SZ,2025-12-11,0.034,46.0,1.594529,792.0
90006514.SZ,2025-12-11,0.9868,4.0,4.007592,150.0
90006523.SZ,2025-12-11,0.0216,37.0,0.80493,871.0
90006524.SZ,2025-12-11,1.2115,10.0,12.30036,202.0
90006626.SZ,2025-12-11,0.0759,3.0,0.226513,217.0
90006671.SZ,2025-12-11,0.405,1.0,0.411197,51.0
90006672.SZ,2025-12-11,0.3168,15.0,4.918012,502.0
90006673.SZ,2025-12-11,0.227,244.0,57.348814,1468.0
90006674.SZ,2025-12-11,0.1593,141.0,24.033065,1156.0
90006675.SZ,2025-12-11,0.1042,217.0,24.898202,943.0
90006676.SZ,2025-12-11,0.0599,245.0,17.816078,959.0
90006677.SZ,2025-12-11,0.035,408.0,16.659144,1647.0
90006678.SZ,2025-12-11,0.0084,1374.0,14.510363,1920.0
90006679.SZ,2025-12-11,0.0031,108.0,0.388555,1056.0
90006680.SZ,2025-12-11,0.011,45.0,0.474754,551.0
90006681.SZ,2025-12-11,0.0212,260.0,5.198641,2202.0
90006682.SZ,2025-12-11,0.0375,1510.0,46.73568,2097.0
90006683.SZ,2025-12-11,0.0639,135.0,7.846543,810.0
90006684.SZ,2025-12-11,0.1057,132.0,13.095949,952.0
90006685.SZ,2025-12-11,0.1579,430.0,65.89429,620.0
90006686.SZ,2025-12-11,0.2326,131.0,28.742737,546.0
90006711.SZ,2025-12-11,0.341,3.0,1.023,72.0
90006712.SZ,2025-12-11,0.2424,40.0,9.791,215.0
90006713.SZ,2025-12-11,0.1446,1217.0,198.6588,705.0
90006714.SZ,2025-12-11,0.0685,13448.0,1139.4807,3458.0
90006715.SZ,2025-12-11,0.023,12694.0,428.119,6818.0
90006716.SZ,2025-12-11,0.006,4429.0,41.0812,4860.0
90006717.SZ,2025-12-11,0.0016,1961.0,5.2674,4193.0
90006718.SZ,2025-12-11,0.0006,997.0,0.7985,2057.0
90006719.SZ,2025-12-11,0.0005,18895.0,13.1229,3879.0
90006720.SZ,2025-12-11,0.0013,745.0,0.7335,948.0
90006721.SZ,2025-12-11,0.0039,1979.0,5.6315,1146.0
90006722.SZ,2025-12-11,0.0118,3743.0,34.6292,4180.0
90006723.SZ,2025-12-11,0.0352,8491.0,233.4333,4293.0
90006724.SZ,2025-12-11,0.0903,10752.0,819.8934,3692.0
