surface_point_id,etf_code,strategy_name,moneyness_label,target_moneyness,avg_realized_moneyness,median_realized_moneyness,coverage,coverage_label,sample_start,sample_end,n_periods,selected_periods,option_sale_success_rate,assignment_frequency,avg_selected_delta,cumulative_return,annualized_return_cagr,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,premium_contribution_annualized,upside_cost_annualized,option_leg_annualized_pnl_contribution,total_net_option_contribution,source_note
mny_0135,510050,510050_DTE30_OTM7_Q50_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.5,Q50,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.21079823625928729,0.053689152349991165,0.17841270329770897,0.3009267353592114,0.17562059767317006,0.3057110217214195,0.021259221565265992,0.004383743132135769,0.016864848822347588,0.06183777901527449,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0136,510050,510050_DTE30_OTM7_Q60_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.6,Q60,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.2263931430670798,0.05738244052326946,0.17759993568271057,0.3230994442801235,0.17333850091978265,0.3310426721056324,0.025511065878319188,0.0052604917585629225,0.020237818586817103,0.07420533481832937,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0137,510050,510050_DTE30_OTM7_Q70_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.7,Q70,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.24214201607389874,0.06107772192300431,0.1768376690655858,0.345388639455272,0.1710506838466891,0.3570738248421598,0.029762910191372387,0.006137240384990077,0.023610788351286622,0.08657289062138428,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0138,510050,510050_DTE30_OTM7_Q80_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.8,Q80,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.2580459726971631,0.064775005071398,0.17612655914465725,0.367775339426217,0.168757133579979,0.38383565599435354,0.034014754504425586,0.007013989011417232,0.026983758115756137,0.09894044642443917,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0139,510050,510050_DTE30_OTM7_Q90_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,0.9,Q90,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.27410613387640526,0.06847429788429515,0.17546722788390817,0.3902398112176184,0.1664578372199914,0.41136121331312997,0.03826659881747879,0.007890737637844385,0.03035672788022566,0.11130800222749408,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0140,510050,510050_DTE30_OTM7_Q100_MonthlyHold,OTM7,0.07,0.06707692916299218,0.06745938547633346,1.0,Q100,2022-09-19,2026-05-27,44,44,1.0,0.022727272727272728,,0.2903236240112941,0.07217560767726594,0.17486026099697546,0.4127616375827916,0.1641527818412688,0.43968555919483443,0.042518443130531984,0.008767486264271538,0.033729697644695175,0.12367555803054898,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0141,510500,510500_DTE30_ATM_Q10_MonthlyHold,ATM,0.0,0.0013495421547495708,0.001160976636991884,0.1,Q10,2022-09-19,2026-05-27,44,44,1.0,0.5454545454545454,,0.5053126962434098,0.11831618439100611,0.23273474913238087,0.5083735232150794,0.24451833268178347,0.48387449355375317,0.023995740565364916,0.026122265191785725,-0.0021385224967034925,-0.007841249154579472,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0142,510500,510500_DTE30_ATM_Q20_MonthlyHold,ATM,0.0,0.0013495421547495708,0.001160976636991884,0.2,Q20,2022-09-19,2026-05-27,44,44,1.0,0.5454545454545454,,0.5021285820657793,0.11766893427948077,0.22541729874596975,0.5220048990653811,0.2298167503597569,0.5120120012805025,0.04799148113072983,0.05224453038357145,-0.004277044993406985,-0.015682498309158945,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0143,510500,510500_DTE30_ATM_Q30_MonthlyHold,ATM,0.0,0.0013495421547495708,0.001160976636991884,0.3,Q30,2022-09-19,2026-05-27,44,44,1.0,0.5454545454545454,,0.4982345162594417,0.11687601242119339,0.2185439492091661,0.5347940899033201,0.21489680216534324,0.5438704124190182,0.07198722169609473,0.07836679557535717,-0.006415567490110472,-0.023523747463738396,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0144,510500,510500_DTE30_ATM_Q40_MonthlyHold,ATM,0.0,0.0013495421547495708,0.001160976636991884,0.4,Q40,2022-09-19,2026-05-27,44,44,1.0,0.5454545454545454,,0.49362894215350583,0.11593627583563593,0.21215786796567,0.5464622969080553,0.2008773034616309,0.5771497020208689,0.09598296226145966,0.1044890607671429,-0.00855408998681397,-0.03136499661831789,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0145,510500,510500_DTE30_ATM_Q50_MonthlyHold,ATM,0.0,0.0013495421547495708,0.001160976636991884,0.5,Q50,2022-09-19,2026-05-27,44,44,1.0,0.5454545454545454,,0.4883111554235975,0.1148485944001103,0.20630430966252264,0.5566950811060724,0.1939671330990541,0.5921033763047888,0.11997870282682455,0.1306113259589286,-0.010692612483517458,-0.039206245772897344,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0146,510500,510500_DTE30_ATM_Q60_MonthlyHold,ATM,0.0,0.0013495421547495708,0.001160976636991884,0.6,Q60,2022-09-19,2026-05-27,44,44,1.0,0.5454545454545454,,0.4822813180927019,0.11361185100311455,0.2010297974746846,0.5651493083627144,0.1870097176317963,0.6075184350944002,0.14397444339218946,0.15673359115071434,-0.012831134980220944,-0.04704749492747679,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
